"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Acta2",0,-5.69648519490045,0.113,0.923,0
"Tagln",0,-5.59215557704986,0.103,0.899,0
"Emp3",0,-6.120650929929,0.07,0.86,0
"Car3",0,7.30301160776535,0.74,0.007,0
"Cd9",0,-4.29813611568862,0.106,0.814,0
"Anxa3",0,-3.84365201904828,0.11,0.805,0
"Tpm2",0,-4.80724679419169,0.118,0.806,0
"Cd36",0,4.69897668034421,0.813,0.132,0
"Cdo1",0,6.4123275784759,0.725,0.06,0
"Ccn2",0,-4.80103465348603,0.066,0.726,0
"Timp3",0,-4.94118631336465,0.094,0.75,0
"Rbp4",0,5.19287754691728,0.816,0.164,0
"Myl9",0,-6.89117964429942,0.015,0.65,0
"Cnn2",0,-4.21788098067927,0.131,0.766,0
"S100a4",0,-4.82749026182594,0.174,0.804,0
"A2m",0,10.1525891414157,0.617,0.005,0
"Crip1",0,-3.60272430633031,0.198,0.809,0
"Igfbp6",0,-3.69969570113292,0.133,0.718,0
"Pdlim2",0,-4.45991001348329,0.07,0.653,0
"Lbh",0,-4.52426849157878,0.144,0.725,0
"Tm4sf1",0,-4.47539739935423,0.045,0.609,0
"Pnpla2",0,5.300832497721,0.787,0.226,0
"Cyba",0,-3.87367420846428,0.299,0.86,0
"Thy1",0,-3.53120098962961,0.112,0.672,0
"Ddah2",0,-4.10898985245793,0.075,0.629,0
"Ccn4",0,-4.33590798508325,0.08,0.633,0
"Myof",0,-2.62745232257596,0.175,0.726,0
"Adipoq",0,4.44065476705419,0.576,0.03,0
"Emp2",0,-3.74745665877452,0.094,0.633,0
"Mfap5",0,-3.42130396022585,0.309,0.848,0
"Ccn5",0,-3.71247963539342,0.136,0.673,0
"Mmp23",0,-4.34625355947637,0.053,0.579,0
"Prelp",0,-4.45860918926235,0.046,0.571,0
"Ahnak2",0,-2.28958257988306,0.185,0.708,0
"Mfap4",0,-5.76570147575489,0.031,0.553,0
"Timp2",0,-3.37413848573178,0.393,0.913,0
"Metrnl",0,-3.64662169915777,0.154,0.674,0
"Fam129a",0,-3.54485003013246,0.08,0.596,0
"Phgdh",0,-3.0002187033767,0.225,0.74,0
"Actn1",0,-3.14130432805472,0.272,0.786,0
"Bst2",0,-3.08884746751102,0.285,0.798,0
"Cmtm3",0,-2.75897718043217,0.134,0.647,0
"Tubb2b",0,-4.24376613161981,0.047,0.556,0
"Thbs1",0,-3.47236804739938,0.395,0.902,0
"Arxes2",0,4.73770111179849,0.677,0.17,0
"Scd1",0,4.87667266368885,0.996,0.492,0
"Ckb",0,-3.59706178467611,0.116,0.619,0
"Mcub",0,-3.76843466859668,0.06,0.56,0
"Nexn",0,-6.85436588999561,0.013,0.51,0
"Uap1l1",0,-2.79132219592554,0.179,0.675,0
"Lsp1",0,-3.70698507753909,0.071,0.562,0
"Plin1",0,5.82797964688939,0.511,0.02,0
"Lipe",0,6.18958123739758,0.532,0.043,0
"Pafah1b3",0,-2.63696110303473,0.156,0.644,0
"Tgfb1i1",0,-3.03139459599533,0.103,0.59,0
"Ccl7",0,-3.21120095047487,0.209,0.696,0
"Ifi30",0,-2.99306566165935,0.111,0.596,0
"Rbp1",0,-3.20349750867101,0.172,0.654,0
"Fblim1",0,-3.01373806499969,0.08,0.561,0
"Fcor",0,3.98924984132323,0.599,0.118,0
"Plk2",0,-2.64497341795662,0.176,0.656,0
"Cdc42ep3",0,-4.17116853023052,0.072,0.551,0
"Capg",0,-3.0967632743918,0.326,0.804,0
"Arhgdib",0,-4.81541547340684,0.038,0.516,0
"Col5a3",0,3.57444966770991,0.695,0.217,0
"Tpm1",0,-3.87040755533599,0.407,0.884,0
"Lrrc32",0,-2.48413738515802,0.194,0.666,0
"Nradd",0,-3.04859775929335,0.11,0.577,0
"Map1b",0,-2.68701170545383,0.197,0.661,0
"Arxes1",0,5.75190193135843,0.501,0.038,0
"Fhl2",0,-3.03107618643171,0.171,0.634,0
"Vat1",0,-2.38699395721157,0.334,0.795,0
"Ephx2",0,5.55408511113602,0.519,0.061,0
"Adamts5",0,-2.72503587746716,0.224,0.678,0
"Tes",0,-2.53851499275896,0.102,0.555,0
"Pls3",0,-2.6742602013862,0.22,0.673,0
"Arl4a",0,4.37082661430823,0.703,0.25,0
"Selenom",0,-2.35786869565695,0.393,0.845,0
"Lgals9",0,-2.97990214891577,0.079,0.53,0
"Plp2",0,-2.36172154526393,0.187,0.638,0
"Apbb1ip",0,-1.91429138019072,0.177,0.627,0
"Zbtb16",0,9.45656136325112,0.449,0.001,0
"Gpr176",0,-4.19319571218253,0.029,0.477,0
"Nbl1",0,-2.9218628281669,0.095,0.541,0
"Gask1b",0,-3.64579638990144,0.061,0.507,0
"Ctsk",0,-2.62163406078559,0.23,0.675,0
"Ptgis",0,-3.10714583064019,0.11,0.553,0
"Cdc42ep5",0,-3.70351974318306,0.036,0.477,0
"Cxcl14",0,-3.43119234051131,0.195,0.634,0
"Flot1",0,-2.11164992559298,0.257,0.696,0
"Npdc1",0,-2.48598967976884,0.254,0.692,0
"Camk1",0,-2.37022226033978,0.244,0.68,0
"Axl",0,-2.02296205555212,0.235,0.671,0
"Pde3b",0,4.56910965432065,0.555,0.119,0
"Gpnmb",0,-3.12219641099686,0.141,0.576,0
"Ccl8",0,-5.69045881230487,0.038,0.472,0
