"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Igfbp6",0,1.76695907359944,0.908,0.322,0,"0","Igfbp6"
"Mmp23",0,1.86377021429647,0.801,0.216,0,"0","Mmp23"
"Pdlim2",0,1.86143368649134,0.844,0.259,0,"0","Pdlim2"
"Ddah2",0,1.79069491536313,0.834,0.251,0,"0","Ddah2"
"Thy1",0,1.60511241724165,0.872,0.291,0,"0","Thy1"
"Ccn5",0,1.95678107133064,0.883,0.304,0,"0","Ccn5"
"Ccn4",0,1.69044183336897,0.833,0.256,0,"0","Ccn4"
"Ahnak2",0,1.75986160996417,0.916,0.348,0,"0","Ahnak2"
"Prelp",0,1.89981292610228,0.773,0.211,0,"0","Prelp"
"Mfap4",0,2.23098902273804,0.751,0.196,0,"0","Mfap4"
"Srpx2",0,1.74925864860496,0.797,0.248,0,"0","Srpx2"
"Ctsk",0,1.90128373310354,0.903,0.361,0,"0","Ctsk"
"Lgi2",0,1.96013434263005,0.82,0.283,0,"0","Lgi2"
"Lbh",0,1.73482707781753,0.875,0.338,0,"0","Lbh"
"Npdc1",0,1.54727849110857,0.919,0.383,0,"0","Npdc1"
"Mfap2",0,1.99221044696896,0.775,0.24,0,"0","Mfap2"
"Slfn5",0,1.8011564438339,0.86,0.328,0,"0","Slfn5"
"Ttc28",0,1.75727437098788,0.829,0.302,0,"0","Ttc28"
"Podn",0,2.15915931027796,0.683,0.172,0,"0","Podn"
"Lgalsl",0,1.65320622591864,0.884,0.375,0,"0","Lgalsl"
"Mmp11",0,1.93918423703204,0.728,0.222,0,"0","Mmp11"
"Mfap5",0,1.61548268534229,0.981,0.49,0,"0","Mfap5"
"F3",0,1.93814846245752,0.991,0.566,0,"0","F3"
"Timp2",0,1.4306284756083,0.995,0.574,0,"0","Timp2"
"Serpinf1",0,1.7556199993276,0.996,0.598,0,"0","Serpinf1"
"Aebp1",0,1.63847718303255,0.997,0.678,0,"0","Aebp1"
"Bgn",0,1.17762374966243,1,0.862,0,"0","Bgn"
"Col1a2",0,1.63084333901473,1,0.903,0,"0","Col1a2"
"Cd63",0,1.10874875529451,1,0.923,0,"0","Cd63"
"Sparc",0,1.26558234900087,0.999,0.952,0,"0","Sparc"
"Rcn3",9.61451746807066e-321,1.39168262224161,0.988,0.585,1.98578243785531e-316,"0","Rcn3"
"Cygb",7.326005396534e-320,1.59883335921415,0.932,0.436,1.51311315460013e-315,"0","Cygb"
"Col1a1",4.10041877715609e-318,1.32407673754924,1,0.942,8.46900494233819e-314,"0","Col1a1"
"Serpinh1",1.07902751294178e-317,1.13320982193794,0.999,0.83,2.22862342522996e-313,"0","Serpinh1"
"Selenom",4.08441895528117e-317,1.29395848159107,0.979,0.541,8.43595891023772e-313,"0","Selenom"
"Cxcl12",1.04536122717344e-313,2.01030941609335,0.972,0.594,2.15908907860403e-309,"0","Cxcl12"
"Pcolce",9.70802698326001e-313,1.3082017000915,0.996,0.641,2.00509589312252e-308,"0","Pcolce"
