"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Nabp1",0,2.24989896880493,1,1,0
"Prelp",0,-2.52051558026232,1,1,0
"Arl8a",0,-1.18170601475464,1,1,0
"Glul",0,2.29165971375767,1,1,0
"Fcer1g",0,-1.64930521186824,1,1,0
"Il15ra",0,1.2932221132693,1,1,0
"Gpr176",0,-1.63973942941606,1,1,0
"Myl9",0,-4.08302041355224,1,1,0
"Tm4sf1",0,-3.18557137026681,1,1,0
"Etv3",0,1.52228182618543,1,1,0
"Phgdh",0,-2.24074542501015,1,1,0
"Slc25a24",0,-0.955084180351438,1,1,0
"Cnn3",0,-1.85018517990749,1,1,0
"F3",0,-3.19299414537472,1,1,0
"Tpm2",0,-4.14045006779539,1,1,0
"Acer2",0,0.981218442383621,1,1,0
"Fblim1",0,-1.49974732813695,1,1,0
"Mmp23",0,-2.18257697772595,1,1,0
"Ppargc1a",0,0.920465738115315,1,1,0
"Pdk4",0,1.44006386500027,1,1,0
"Col28a1",0,-1.36247696453422,1,1,0
"Kdm7a",0,1.35893241681466,1,1,0
"Fam13a",0,1.71040231447235,1,1,0
"Vamp5",0,-1.4998708153238,1,1,0
"A2m",0,3.47152062480425,1,1,0
"Cd9",0,-2.86072816016326,1,1,0
"Arhgdib",0,-1.73490214473455,1,1,0
"Emp3",0,-3.61221954710139,1,1,0
"Cemip",0,-3.04429502452287,1,1,0
"Pde3b",0,2.64162567826622,1,1,0
"Tgfb1i1",0,-1.8914768028999,1,1,0
"Pnpla2",0,3.83431839348239,1,1,0
"Lsp1",0,-1.57696806531152,1,1,0
"Ccnd1",0,-1.66943306676148,1,1,0
"Acsl1",0,3.77455674082437,1,1,0
"Klf2",0,-1.60489630263467,1,1,0
"Cyba",0,-2.50943170703225,1,1,0
"2310022B05Rik",0,-1.64656578407386,1,1,0
"Col5a3",0,2.50004002695079,1,1,0
"Fez1",0,-1.72505521801252,1,1,0
"Tagln",0,-5.43733984984602,1,1,0
"Zbtb16",0,1.78099611081462,1,1,0
"Sik2",0,1.53816095904131,1,1,0
"Tpm1",0,-3.63167683920088,1,1,0
"Nradd",0,-1.61592205725086,1,1,0
"Ccn2",0,-3.84264102415273,1,1,0
"Echdc1",0,1.57621055328575,1,1,0
"Smpdl3a",0,-1.29170120530741,1,1,0
"Aifm2",0,1.65107592283545,1,1,0
"Cnn2",0,-3.09492216713792,1,1,0
"Reep6",0,0.9916410936801,1,1,0
"Mknk2",0,1.96053900823061,1,1,0
"Acss3",0,1.2134078062973,1,1,0
"Slc36a2",0,2.18802377105592,1,1,0
"Ssh2",0,1.54914895443145,1,1,0
"Tmem100",0,0.962947909067424,1,1,0
"Fzd2",0,-1.72740373951211,1,1,0
"Lpin1",0,2.11222836223929,1,1,0
"Fam110c",0,0.949897663315751,1,1,0
"Arl4a",0,2.97981669080579,1,1,0
"Actn1",0,-2.77415662508388,1,1,0
"Ckb",0,-1.93292377129892,1,1,0
"Tubb2b",0,-1.83478545106093,1,1,0
"Cacna1d",0,0.93229670739691,1,1,0
"Scara5",0,1.78449582367632,1,1,0
"Pdlim2",0,-2.57408993170421,1,1,0
"Tbc1d4",0,0.959734112372973,1,1,0
"Col14a1",0,-1.27048826321703,1,1,0
"Ccn4",0,-2.84830765768672,1,1,0
"Slc38a1",0,-0.912420880762018,1,1,0
"Acvrl1",0,-1.21630475541894,1,1,0
"Emp2",0,-2.0700199955476,1,1,0
"Gm49708",0,1.03496259287156,1,1,0
"3300005D01Rik",0,-1.59754442605355,1,1,0
"Angptl4",0,1.89044765862731,1,1,0
"Ddah2",0,-2.13217535118376,1,1,0
"Lbh",0,-3.20863448119626,1,1,0
"Cdc42ep3",0,-2.1782616669604,1,1,0
"Pcx",0,2.26876404792605,1,1,0
"Aldh1a7",0,0.768295229427609,1,1,0
"Arxes2",0,3.12275971495643,1,1,0
"Arxes1",0,2.65327281700716,1,1,0
"Txlng",0,1.33944626649241,1,1,0
"Car5b",0,1.69329263482868,1,1,0
