"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Igfbp6",0,1.76695907359944,0.908,0.322,0,"0","Igfbp6"
"Mmp23",0,1.86377021429647,0.801,0.216,0,"0","Mmp23"
"Pdlim2",0,1.86143368649134,0.844,0.259,0,"0","Pdlim2"
"Ddah2",0,1.79069491536313,0.834,0.251,0,"0","Ddah2"
"Thy1",0,1.60511241724165,0.872,0.291,0,"0","Thy1"
"Col4a1",0,1.5209656375959,1,0.886,0,"1","Col4a1"
"Mt2",0,1.53407831362615,1,0.899,0,"1","Mt2"
"Rpl18a",0,0.771724707089414,1,0.984,0,"1","Rpl18a"
"Eef1a1",0,0.630773574123359,1,0.996,0,"1","Eef1a1"
"Tpt1",0,0.749945309593312,1,0.999,0,"1","Tpt1"
"AY036118",0,3.33294896965152,0.982,0.941,0,"2","AY036118"
"Gm42418",0,2.68113374739936,0.998,0.998,0,"2","Gm42418"
"Scd1",3.85238577120858e-295,1.13199136353807,0.941,0.736,7.95671757185421e-291,"2","Scd1"
"Lars2",1.36764749486418e-258,2.43205684710134,0.819,0.824,2.82473913589247e-254,"2","Lars2"
"Fabp4",3.44297655823373e-242,0.97481971142291,0.955,0.79,7.11112378337595e-238,"2","Fabp4"
"Myl91",0,2.30831702577187,0.933,0.207,0,"3","Myl9"
"Pclaf",0,1.87148713044768,0.954,0.253,0,"3","Pclaf"
"Ccn41",0,2.08160409970858,0.931,0.24,0,"3","Ccn4"
"Tpx2",0,2.30980453278267,0.935,0.245,0,"3","Tpx2"
"Nexn1",0,2.28156657887693,0.836,0.147,0,"3","Nexn"
"Mki671",0,2.42843897450997,0.937,0.251,0,"4","Mki67"
"Pclaf1",0,2.21590757720461,0.933,0.258,0,"4","Pclaf"
"Birc51",0,1.8252509582569,0.909,0.26,0,"4","Birc5"
"Cenpf1",0,2.20863692257299,0.853,0.207,0,"4","Cenpf"
"Top2a1",0,2.42693359615019,0.954,0.325,0,"4","Top2a"
"Slc36a21",0,3.29094117140676,0.934,0.098,0,"5","Slc36a2"
"Plin1",0,3.18563852421948,0.965,0.181,0,"5","Plin1"
"Car5b1",0,3.32973388330815,0.907,0.131,0,"5","Car5b"
"Plin41",0,3.10643086018867,0.876,0.102,0,"5","Plin4"
"Lipe",0,3.40614579185992,0.976,0.205,0,"5","Lipe"
"Cldn5",9.19059555509835e-277,8.93137752438065,0.168,0.001,1.89822560595001e-272,"6","Cldn5"
"Myct1",1.15487614584943e-272,11.8256926534481,0.153,0,2.3852811916374e-268,"6","Myct1"
"Pecam1",7.67531451383886e-260,7.95490935182795,0.18,0.004,1.58525945968828e-255,"6","Pecam1"
"Emcn",7.23865338779045e-256,10.4125753758491,0.158,0.002,1.49507147071424e-251,"6","Emcn"
"Esam",1.26926808397794e-252,7.77454101953402,0.171,0.004,2.62154630064804e-248,"6","Esam"
"Tyrobp",0,9.46742354120569,0.995,0.008,0,"7","Tyrobp"
"C1qc",0,9.91234841137575,0.995,0.01,0,"7","C1qc"
"C1qb",0,9.86935121600952,0.998,0.015,0,"7","C1qb"
"Ctss",0,10.1973266158069,0.989,0.007,0,"7","Ctss"
"Trem2",0,9.20094512311641,0.989,0.009,0,"7","Trem2"
